"LeadResearchInstitution,City,institution_id"
"Carleton University,Ottawa,1"
"University of Guelph,Guelph,2"
"University of Toronto,Toronto,3"
"Brock University,St.Catharines,4"
"Ontario College of Art and Design University,Toronto,5"
"York University,Toronto,6"
"Queen's University,Kingston,7"
"University of Ottawa,Ottawa,8"
"Trent University,Peterborough,9"
"University of Waterloo,Waterloo,10"
"University of Western Ontario,London,11"
"University of Windsor,Windsor,12"
"Perimeter Institute for Theoretical Physics,Waterloo,13"
"Algoma University,Sault Ste. Marie,14"
"Wilfrid Laurier University,Waterloo,15"
"Laurentian University,Sudbury,16"
"McMaster University,Hamilton,17"
"Nipissing University,North Bay,18"
"University of Ontario Institute of Technology,Oshawa,19"
"Lakehead University,Thunder Bay,20"
"Ryerson University,Toronto,21"
