"AreaPrimary,AreaSecondary,DisciplinePrimary,DisciplineSecondary,researcher_id"
"7.14,,12300,99998,1"
"4.1,,41200,41900,2"
"4.3,,11000,41000,3"
"3.7,3.4,22800,14900,4"
"7.4.2,,40900,10800,5"
"8.1,,21000,99998,6"
"4.1,,41100,99998,7"
"5.5,,11400,12300,8"
"4.9,,41300,14400,9"
"4.1,,14500,99998,10"
"4.9,,12100,99998,11"
"4.9,,13100,99998,12"
"7.4.2,,40900,99998,13"
"7.4.2,,13100,99998,14"
"7.14,4.9,20600,99998,15"
"4.1,,41300,42700,16"
"7.6,7.6.3,11600,99998,17"
"4.1,,40900,99998,18"
"3.4,3.2,13800,13900,19"
"7.9.1,4.1,40800,99998,20"
"7.9.1,4.1,11000,41200,21"
"5.5,,13000,99998,22"
"4.9,,15100,99998,23"
"5.5,,11200,99998,24"
"4.3,,15100,15200,25"
"4.8,,10700,99998,26"
"3.5,5.1,10600,11400,27"
"3.7,,14100,14300,28"
"8.7,8.8,22600,99998,29"
"4.1,,15200,14700,30"
"5.7,,12300,99998,31"
"7.6,,10800,99998,32"
"4.9,8.8,42400,99998,33"
"7.4,,13000,99998,34"
"4.9,,12300,99998,35"
"4.8,,42500,99998,36"
"4.1,,14700,14400,37"
"4.1,,41000,42700,38"
"4.3,,40001,15200,39"
"4.9,,41400,99998,40"
"3.7,,14100,99998,41"
"7.5.2,,11200,99998,42"
"8.3,,22300,99998,43"
"7.14,,11600,99998,44"
"3.4,,14900,99998,45"
"4.1,7.9.1,15200,99998,46"
"4.9,,14500,99998,47"
"4.1,4.3,40900,11000,48"
"5.5,,13100,99998,49"
"8.2,8.8,22100,99998,50"
"8.2,8.7,22600,21700,51"
"8.1,8.3,22300,21000,52"
"5.5,,11400,99998,53"
"4.1,,15200,41800,54"
"4.1,,41000,99998,55"
"3.7,,42400,99999,56"
"4.1,,40100,99999,57"
"4.1,,40800,99999,58"
"5.5,,10600,99999,59"
"4.1,,41000,99999,60"
"7.6.2,,11600,99999,61"
"5.5,,11400,99999,62"
"4.1,,14500,99999,63"
"4.1,,14400,99998,64"
"4.1,,41300,99998,65"
"2.8,,10200,99999,66"
"4.5,,42800,99998,67"
"4.7,,42600,99998,68"
"4.1,,40800,99998,69"
"9.1,,12600,99998,70"
"7.4,,10500,99998,71"
"3.4,,10600,99998,72"
"6.1,,10300,99998,73"
"6.1,,14400,14300,74"
"7.6.2,,11600,99998,75"
"3.10,,40100,99998,76"
"6.3,,10300,10400,77"
"7.6.2,,11800,99999,78"
"3.10,,10400,99999,79"
"3.5,,10600,99999,80"
"7.14,,11100,18000,81"
"10,,20600,22900,82"
"4.9,,14400,18000,83"
"4.9,,14500,15200,84"
"4.1,,40700,99998,85"
"4.9,,14500,14500,86"
"4.7,,22600,99998,87"
"4.2,4.9,14400,14500,88"
"4.9,,42400,99998,89"
"8.1,,20800,22900,90"
"10,,18000,99998,91"
"4.9,,14400,99998,92"
"10,,20600,99998,93"
"3.10,,18000,99998,94"
"4.9,,41300,99998,95"
"8.8,8.7,22100,22600,96"
"3.1,4.9,18000,42800,97"
"8.8,,20600,99998,98"
"10,,11800,99998,99"
"4.7,,41100,99998,100"
"3.7,,14900,99998,101"
"3.10,,14000,99998,102"
"7.4,,11100,99998,103"
"5.6,,11600,99998,104"
"3.10,,10600,99998,105"
"4.1,,40100,40900,106"
"4.1,,41800,99999,107"
"3.1,,10600,99998,108"
"3.9,,13300,99998,109"
"2.2,,10200,99998,110"
"4.1,,15100,42600,111"
"3.1,,13300,13400,112"
"6.1,,10300,11800,113"
"4.1,,13000,99998,114"
"4.1,,40500,42500,115"
"4.9,,40900,18000,116"
"4.1,,14500,42800,117"
"10,,18000,18000,118"
"2.8,,10800,12000,119"
"4.1,,40001,99998,120"
"3.1,,10001,99998,121"
"5.1,,13100,99998,122"
"4.1,,42800,99998,123"
"7.4.2,3,13100,10600,124"
"4.5,,15100,99999,125"
"6.3,,10400,99998,126"
"4.2,,40100,99998,127"
"4.1,,40100,99998,128"
"4.3,,40001,99998,129"
"4.3,,11000,99998,130"
"8.8,,11800,99998,131"
"4.2,,41200,99998,132"
"1.7,,12400,99998,133"
"10,,14900,99998,134"
"10,,13900,99998,135"
"5.7,,10800,99998,136"
"3.7,,10600,99998,137"
"4.7,,40600,99998,138"
"5.7,,11500,99998,139"
"10,,12100,99998,140"
"4.7,,40800,99998,141"
"9.5,,12600,99998,142"
"2.5,,31000,99998,143"
"6.4,,12400,99998,144"
"4.2,,14500,99998,145"
"3.2,,11400,99998,146"
"4.1,,42300,99998,147"
"4.2,,40001,99998,148"
"8.8,,22600,99998,149"
"10,,40001,99998,150"
"7.2,,10800,99998,151"
"4.3,,41000,99998,152"
"10,,12200,99998,153"
"10,,11200,99998,154"
"3.4,,13900,99998,155"
"10,,11700,99998,156"
"5.7,,11400,99998,157"
"10,,11500,99998,158"
"4.2,,40900,99998,159"
"4.2,,41000,99998,160"
"5.7,,12400,99998,161"
"3.10,,13900,99998,162"
"4.3,,41600,99998,163"
"2.5,,11800,99998,164"
"8.8,,42600,99998,165"
"5.6,,11200,99998,166"
"4.1,,42400,99998,167"
"4.9,,12200,99998,168"
"2.7,,13500,99998,169"
"3.10,,14300,99998,170"
"4.2,,42300,99998,171"
"6.4,,11100,99998,172"
"2.5,,5000,99998,173"
"6.4,,10600,99998,174"
"4.9,,5000,99998,175"
"10,na,31000,99998,176"
"4.2,,10900,99998,177"
"4.3,,42400,99998,178"
"3.1,,13800,99998,179"
"4.7,,42400,99998,180"
"4.3,,40900,99998,181"
"4.3,,14900,99998,182"
"4.8,,11800,99998,183"
"1.7,,10200,99998,184"
"2.5,,11600,99998,185"
"4.3,,15200,99998,186"
